Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,70.410004,72.239998,70.349998,70.809998,47200,70.809998
2015-12-30,71.220001,71.580002,70.57,70.699997,43500,70.699997
2015-12-29,72.559998,72.879997,71.190002,71.379997,42600,71.379997
2015-12-28,71.959999,73.300003,71.959999,72.150002,23100,72.150002
2015-12-24,73.269997,73.550003,72.199997,72.199997,18100,72.199997
2015-12-23,72.870003,73.459999,72.260002,73.230003,45900,73.230003
2015-12-22,72.580002,73.260002,72.18,72.57,86100,72.57
2015-12-21,71.68,73.239998,71.68,72.50,134600,72.50
2015-12-18,72.230003,72.43,71.129997,71.599998,119800,71.599998
2015-12-17,72.989998,73.050003,71.589996,72.089996,76100,72.089996
2015-12-16,73.459999,73.459999,72.50,73.099998,56900,73.099998
2015-12-15,71.150002,72.839996,71.150002,72.699997,145500,72.699997
2015-12-14,71.769997,71.769997,69.75,70.800003,92300,70.800003
2015-12-11,72.32,73.620003,71.169998,71.519997,273300,71.519997
2015-12-10,74.00,74.059998,72.860001,73.019997,135200,73.019997
2015-12-09,74.400002,75.300003,73.75,74.089996,44900,74.089996
2015-12-08,74.330002,74.93,73.589996,74.330002,46700,74.330002
2015-12-07,76.830002,76.830002,74.459999,75.169998,89100,75.169998
2015-12-04,76.080002,77.059998,75.57,76.019997,41900,76.019997
2015-12-03,78.389999,78.43,75.449997,76.18,58300,76.18
2015-12-02,77.699997,78.589996,77.639999,78.110001,55300,78.110001
2015-12-01,77.459999,78.830002,77.290001,78.25,88400,78.25
2015-11-30,78.760002,79.330002,76.879997,77.07,108900,77.07
2015-11-27,79.690002,79.889999,78.209999,78.550003,64500,78.550003
2015-11-25,78.879997,80.610001,78.400002,79.889999,148900,79.889999
2015-11-24,77.639999,78.75,77.370003,78.489998,35800,78.489998
2015-11-23,77.230003,78.220001,77.230003,77.970001,38700,77.970001
2015-11-20,77.43,77.730003,76.870003,77.18,30000,77.18
2015-11-19,76.25,77.279999,76.25,76.620003,28500,76.620003
2015-11-18,76.160004,76.410004,75.309998,75.980003,31200,75.980003
2015-11-17,75.519997,77.040001,75.32,75.989998,54500,75.989998
2015-11-16,75.419998,76.25,75.129997,75.830002,18800,75.830002
2015-11-13,75.769997,76.339996,75.360001,75.510002,65500,75.510002
2015-11-12,75.639999,76.150002,75.290001,75.970001,52200,75.970001
2015-11-11,76.400002,76.459999,75.650002,76.169998,51500,76.169998
2015-11-10,74.360001,76.099998,74.349998,75.900002,57500,75.900002
2015-11-09,76.110001,76.389999,74.550003,75.239998,42200,75.239998
2015-11-06,76.550003,76.720001,75.879997,76.339996,62000,76.339996
2015-11-05,76.370003,77.800003,76.370003,76.870003,51900,76.870003
2015-11-04,77.900002,78.330002,76.220001,76.669998,85300,76.669998
2015-11-03,78.010002,79.510002,77.580002,78.019997,171900,78.019997
2015-11-02,77.050003,78.120003,76.860001,77.730003,59400,77.730003
2015-10-30,77.410004,77.839996,75.690002,76.68,121900,76.68
2015-10-29,76.760002,77.760002,75.410004,77.400002,126400,77.400002
2015-10-28,74.540001,77.209999,74.540001,77.07,161200,77.07
2015-10-27,74.519997,75.599998,74.459999,75.230003,82200,74.300005
2015-10-26,74.360001,75.139999,73.949997,75.019997,68300,74.092595
2015-10-23,74.709999,75.589996,73.769997,74.230003,63700,73.312367
2015-10-22,73.169998,76.360001,73.059998,74.860001,111000,73.934577
2015-10-21,72.709999,72.730003,71.779999,72.669998,85900,71.771647
2015-10-20,72.330002,73.129997,71.82,72.830002,96500,71.929673
2015-10-19,71.889999,72.489998,71.849998,72.279999,26100,71.386469
2015-10-16,72.370003,72.75,72.059998,72.400002,31500,71.504988
2015-10-15,72.080002,72.379997,71.07,72.25,39800,71.356841
2015-10-14,71.010002,71.980003,70.940002,71.650002,50000,70.76426
2015-10-13,72.50,72.769997,70.93,71.230003,45300,70.349454
2015-10-12,72.129997,73.00,71.699997,72.489998,40500,71.593872
2015-10-09,72.07,72.830002,72.010002,72.370003,49400,71.47536
2015-10-08,70.550003,72.309998,70.18,71.949997,125900,71.060547
2015-10-07,70.629997,71.489998,69.50,70.230003,90400,69.361816
2015-10-06,70.50,70.82,69.809998,70.339996,39900,69.470449
2015-10-05,68.760002,70.82,68.760002,70.300003,42700,69.43095
2015-10-02,67.779999,69.07,67.190002,68.330002,75600,67.485302
2015-10-01,69.559998,69.559998,68.099998,68.160004,56000,67.317405
2015-09-30,69.209999,70.269997,68.879997,69.379997,67100,68.522317
2015-09-29,67.300003,68.510002,67.050003,68.07,51500,67.228514
2015-09-28,67.309998,67.809998,67.080002,67.209999,137000,66.379145
2015-09-25,68.839996,68.839996,67.07,67.580002,43600,66.744574
2015-09-24,67.50,68.650002,67.029999,68.330002,82000,67.485302
2015-09-23,68.93,68.93,68.190002,68.360001,72400,67.51493
2015-09-22,69.150002,69.230003,68.160004,69.010002,56400,68.156896
2015-09-21,70.230003,70.639999,69.610001,70.25,51800,69.381565
2015-09-18,71.080002,71.199997,69.709999,69.989998,83900,69.124777
2015-09-17,70.639999,72.599998,69.949997,71.139999,90600,70.260562
2015-09-16,69.949997,71.309998,69.949997,71.050003,48700,70.171678
2015-09-15,68.68,69.830002,68.50,69.660004,47000,68.798862
2015-09-14,68.980003,68.980003,67.82,68.769997,50800,67.919858
2015-09-11,69.18,69.290001,68.629997,68.879997,49700,68.028498
2015-09-10,68.970001,70.339996,68.970001,69.800003,54900,68.937131
2015-09-09,70.169998,70.57,69.150002,69.18,68000,68.324793
2015-09-08,69.040001,70.00,69.040001,69.269997,57700,68.413677
2015-09-04,70.739998,70.739998,68.230003,68.989998,56600,68.137139
2015-09-03,70.980003,71.839996,70.50,71.139999,49800,70.260562
2015-09-02,70.290001,71.169998,69.739998,70.739998,38600,69.865506
2015-09-01,70.160004,70.629997,69.169998,69.519997,58600,68.660586
2015-08-31,70.480003,72.730003,69.57,72.010002,86800,71.11981
2015-08-28,71.370003,71.510002,70.410004,70.75,70400,69.875384
2015-08-27,69.870003,72.050003,69.169998,71.760002,98100,70.8729
2015-08-26,67.910004,69.589996,66.879997,69.32,89800,68.463061
2015-08-25,67.489998,68.339996,66.599998,66.639999,54900,65.816192
2015-08-24,63.93,67.230003,63.139999,65.900002,225900,65.085342
2015-08-21,69.239998,69.330002,67.779999,68.110001,105900,67.26802
2015-08-20,70.559998,70.599998,69.75,70.099998,73000,69.233418
2015-08-19,72.260002,72.330002,70.739998,70.800003,107200,69.924769
2015-08-18,72.940002,73.080002,72.120003,72.300003,27500,71.406226
2015-08-17,72.589996,73.269997,72.300003,73.110001,42200,72.20621
2015-08-14,72.889999,73.290001,72.260002,72.980003,96100,72.07782
2015-08-13,73.519997,73.910004,72.699997,72.75,37600,71.85066
2015-08-12,74.239998,74.239998,73.040001,73.720001,51800,72.80867
2015-08-11,75.279999,75.769997,74.00,74.120003,53200,73.203727
2015-08-10,75.82,76.57,75.43,76.400002,48500,75.45554
2015-08-07,74.610001,75.559998,74.610001,75.400002,35700,74.467902
2015-08-06,75.110001,75.190002,74.32,74.849998,36000,73.924698
2015-08-05,76.129997,76.360001,74.669998,75.300003,51000,74.36914
2015-08-04,76.300003,76.529999,75.660004,76.110001,39900,75.169124
2015-08-03,75.129997,76.239998,74.790001,76.089996,62400,75.149367
2015-07-31,74.370003,76.410004,74.370003,75.550003,80000,74.616049
2015-07-30,75.139999,75.139999,74.139999,74.160004,98500,73.243233
2015-07-29,73.57,75.900002,73.57,75.040001,86500,74.112352
2015-07-28,74.050003,74.459999,73.389999,73.650002,69400,72.739536
2015-07-27,73.639999,74.809998,73.43,73.870003,84800,72.956817
2015-07-24,74.919998,75.410004,73.940002,73.989998,119400,73.075329
2015-07-23,75.940002,77.830002,74.360001,75.220001,112500,74.290127
2015-07-22,78.779999,79.029999,75.620003,76.269997,111300,75.327142
2015-07-21,79.75,80.769997,78.389999,78.790001,44400,77.815994
2015-07-20,79.00,80.239998,78.82,79.940002,63600,78.951779
2015-07-17,80.169998,80.510002,79.050003,79.510002,58100,78.527094
2015-07-16,80.779999,81.279999,79.629997,79.980003,80700,78.991286
2015-07-15,80.459999,81.309998,80.220001,80.580002,72300,79.583867
2015-07-14,81.099998,81.300003,80.209999,80.349998,91400,79.356707
2015-07-13,81.00,81.510002,80.349998,80.480003,39000,79.485104
2015-07-10,81.050003,81.389999,80.470001,80.769997,57900,79.771513
2015-07-09,81.93,81.93,79.779999,80.00,43100,79.011035
2015-07-08,80.639999,81.110001,80.379997,80.720001,40300,79.722135
2015-07-07,80.150002,81.449997,79.50,81.330002,68200,80.324595
2015-07-06,80.169998,80.550003,79.93,80.449997,43800,79.455469
2015-07-02,80.00,81.68,80.00,81.150002,68000,80.14682
2015-07-01,79.830002,80.269997,79.080002,79.970001,37200,78.981407
2015-06-30,80.089996,80.089996,78.139999,79.449997,63900,78.467831
2015-06-29,81.139999,81.400002,79.279999,79.660004,61700,78.675242
2015-06-26,82.019997,82.839996,81.699997,82.400002,100500,81.381368
2015-06-25,82.690002,82.690002,81.599998,82.07,49100,81.055445
2015-06-24,82.230003,82.610001,82.040001,82.519997,65500,81.499879
2015-06-23,82.949997,82.949997,82.150002,82.519997,84000,81.499879
2015-06-22,82.470001,83.260002,82.230003,82.709999,51900,81.687533
2015-06-19,83.18,83.550003,81.300003,81.970001,74400,80.956683
2015-06-18,83.830002,83.830002,81.709999,83.440002,125800,82.408512
2015-06-17,81.050003,83.239998,80.93,83.129997,183500,82.102339
2015-06-16,79.139999,80.860001,79.139999,80.400002,45400,79.406092
2015-06-15,79.720001,80.010002,79.07,79.239998,54900,78.260428
2015-06-12,81.139999,81.139999,79.870003,80.160004,32600,79.169061
2015-06-11,80.279999,81.529999,80.010002,81.050003,63700,80.048058
2015-06-10,80.730003,81.690002,79.889999,80.019997,74500,79.030784
